rank,name,admin,country,population,slug,lat,lon,geonameid,feature_code
268,Sherbrooke,QC,CA,129447,sherbrooke-qc,45.40008,-71.89908,6146143,PPL
269,Thousand Oaks,CA,US,129339,thousand-oaks-ca,34.17056,-118.83759,5402405,PPL
270,Columbia,MO,US,129330,columbia-mo,38.95171,-92.33407,4381982,PPLA2
271,Elizabeth,NJ,US,129007,elizabeth-nj,40.66399,-74.2107,5097598,PPLA2
272,Stamford,CT,US,128874,stamford-ct,41.05343,-73.53873,4843564,PPL
273,Concord,CA,US,128667,concord-ca,37.97798,-122.03107,5339111,PPL
274,Norman,OK,US,128026,norman-ok,35.22257,-97.43948,4543762,PPLA2
275,Athens,GA,US,127315,athens-ga,33.96095,-83.37794,4180386,PPLA2
276,Kent,WA,US,126952,kent-wa,47.38093,-122.23484,5799625,PPL
277,Simi Valley,CA,US,126788,simi-valley-ca,34.26945,-118.78148,5396003,PPL
278,East Los Angeles,CA,US,126496,east-los-angeles-ca,34.0239,-118.17202,5344994,PPL
279,Santa Clara,CA,US,126215,santa-clara-ca,37.35411,-121.95524,5393015,PPL
280,Topeka,KS,US,125963,topeka-ks,39.04833,-95.67804,4280539,PPLA
281,Abilene,TX,US,125182,abilene-tx,32.44874,-99.73314,4669635,PPLA2
282,Amherst,NY,US,122366,amherst-ny,42.97839,-78.79976,5107129,PPL
283,Victorville,CA,US,122225,victorville-ca,34.53611,-117.29116,5406222,PPL
284,Vallejo,CA,US,121692,vallejo-ca,38.10409,-122.25664,5405380,PPL
285,Lafayette,LA,US,121374,lafayette-la,30.22409,-92.01984,4330145,PPLA2
286,Chico,CA,US,121345,chico-ca,39.72849,-121.83748,5336269,PPL
287,North Stamford,CT,US,121230,north-stamford-ct,41.13815,-73.54346,4839745,PPL
288,Hartford,CT,US,121054,hartford-ct,41.76371,-72.68509,4835797,PPLA
289,Berkeley,CA,US,120972,berkeley-ca,37.87159,-122.27275,5327684,PPL
290,West Palm Beach,FL,US,120932,west-palm-beach-fl,26.71534,-80.05337,4177887,PPLA2
291,Allentown,PA,US,120207,allentown-pa,40.60843,-75.49018,5178127,PPLA2
292,Evansville,IN,US,119943,evansville-in,37.97476,-87.55585,4257227,PPLA2
293,Palm Bay,FL,US,119760,palm-bay-fl,28.03446,-80.58866,4167499,PPL
294,Ajax,ON,CA,119677,ajax-on,43.85012,-79.03288,5882873,PPL
295,Fargo,ND,US,118523,fargo-nd,46.87719,-96.7898,5059163,PPLA2
296,Saanich,BC,CA,117735,saanich-bc,48.54964,-123.36931,6136944,PPL?
297,Clearwater,FL,US,117292,clearwater-fl,27.96585,-82.8001,4151316,PPLA2
298,Independence,MO,US,117255,independence-mo,39.09112,-94.41551,4391812,PPL
299,Billings,MT,US,117116,billings-mt,45.78329,-108.50069,5640350,PPLA2
300,Ann Arbor,MI,US,117070,ann-arbor-mi,42.27756,-83.74088,4984247,PPLA2
301,El Monte,CA,US,116732,el-monte-ca,34.06862,-118.02757,5345743,PPL
302,Westminster,CO,US,116317,westminster-co,39.83665,-105.0372,5443910,PPL
