rank,name,admin,country,population,slug,lat,lon,geonameid,feature_code
126,Richmond,VA,US,226610,richmond-va,37.55376,-77.46026,4781708,PPLA
127,Regina,SK,CA,226404,regina-sk,50.45008,-104.6178,6119109,PPLA
128,Paradise,NV,US,223167,paradise-nv,36.09719,-115.14666,5509952,PPL
129,Tacoma,WA,US,222906,tacoma-wa,47.25288,-122.44429,5812944,PPLA2
130,San Bernardino,CA,US,216108,san-bernardino-ca,34.10834,-117.28977,5391710,PPLA2
131,Salt Lake City,UT,US,215548,salt-lake-city-ut,40.76078,-111.89105,5780993,PPLA
132,Huntsville,AL,US,215006,huntsville-al,34.7304,-86.58594,4068590,PPLA2
133,Des Moines,IA,US,214133,des-moines-ia,41.60054,-93.60911,4853828,PPLA
134,Oakville,ON,CA,213759,oakville-on,43.45011,-79.68292,6092122,PPL
135,Fontana,CA,US,212704,fontana-ca,34.09223,-117.43505,5349755,PPL
136,Modesto,CA,US,211266,modesto-ca,37.6391,-120.99688,5373900,PPLA2
137,Richmond,BC,CA,209937,richmond-bc,49.17003,-123.13683,6122085,PPL
138,Rochester,NY,US,209802,rochester-ny,43.15478,-77.61556,5134086,PPLA2
139,Arlington,VA,US,207627,arlington-va,38.88101,-77.10428,4744709,PPLA2
140,Oxnard,CA,US,207254,oxnard-ca,34.1975,-119.17705,5380184,PPL
141,Columbus,GA,US,206922,columbus-ga,32.46098,-84.98771,4188985,PPLA2
142,Worcester,MA,US,206518,worcester-ma,42.26259,-71.80229,4956184,PPLA2
143,Moreno Valley,CA,US,204198,moreno-valley-ca,33.93752,-117.23059,5374732,PPL
144,Little Rock,AR,US,202591,little-rock-ar,34.74648,-92.28959,4119403,PPLA
145,Richmond Hill,ON,CA,202022,richmond-hill-on,43.87111,-79.43725,6122091,PPL
146,Fayetteville,NC,US,201963,fayetteville-nc,35.05266,-78.87836,4466033,PPLA2
147,Huntington Beach,CA,US,201899,huntington-beach-ca,33.6603,-117.99923,5358705,PPL
148,Tallahassee,FL,US,201731,tallahassee-fl,30.43826,-84.28073,4174715,PPLA
149,Yonkers,NY,US,201116,yonkers-ny,40.9304,-73.89789,5145215,PPL
150,Glendale,CA,US,201020,glendale-ca,34.14251,-118.25508,5352423,PPL
151,Cypress,TX,US,200839,cypress-tx,29.96911,-95.69717,4684724,PPL
152,Aurora,IL,US,200661,aurora-il,41.76058,-88.32007,4883817,PPL
153,Amarillo,TX,US,198645,amarillo-tx,35.222,-101.8313,5516233,PPLA2
154,Akron,OH,US,197542,akron-oh,41.08144,-81.51901,5145476,PPLA2
155,Vancouver,WA,US,196442,vancouver-wa,45.63873,-122.66149,5814616,PPLA2
156,Birmingham,AL,US,196357,birmingham-al,33.52066,-86.80249,4049979,PPLA2
157,Montgomery,AL,US,195287,montgomery-al,32.36681,-86.29997,4076784,PPLA
158,Grand Rapids,MI,US,195097,grand-rapids-mi,42.96336,-85.66809,4994358,PPLA2
159,Peoria,AZ,US,190985,peoria-az,33.5806,-112.23738,5308480,PPL
160,Providence,RI,US,190934,providence-ri,41.82399,-71.41283,5224151,PPLA
161,Knoxville,TN,US,190740,knoxville-tn,35.96064,-83.92074,4634946,PPLA2
162,Sunrise Manor,NV,US,189372,sunrise-manor-nv,36.21108,-115.07306,5513343,PPL
163,Grand Prairie,TX,US,187809,grand-prairie-tx,32.74596,-96.99778,4694482,PPL
164,Shreveport,LA,US,187593,shreveport-la,32.52515,-93.75018,4341513,PPLA2
165,Burlington,ON,CA,186948,burlington-on,43.38621,-79.83713,5911592,PPL
166,Brownsville,TX,US,186738,brownsville-tx,25.90175,-97.49748,4676740,PPLA2
167,Overland Park,KS,US,186515,overland-park-ks,38.98223,-94.67079,4276873,PPL
168,Newport News,VA,US,186247,newport-news-va,36.98038,-76.42975,4776024,PPLA2
169,Mobile,AL,US,183289,mobile-al,30.69436,-88.04305,4076598,PPLA2
170,Fort Lauderdale,FL,US,183146,fort-lauderdale-fl,26.12231,-80.14338,4155966,PPLA2
171,Santa Clarita,CA,US,182371,santa-clarita-ca,34.39166,-118.54259,5393049,PPL
172,Chattanooga,TN,US,181099,chattanooga-tn,35.04563,-85.30968,4612862,PPLA2
173,Spring Valley,NV,US,178395,spring-valley-nv,36.10803,-115.245,5512909,PPL
174,Santa Rosa,CA,US,178127,santa-rosa-ca,38.44047,-122.71443,5393287,PPLA2
175,Eugene,OR,US,176654,eugene-or,44.05207,-123.08675,5725846,PPLA2
176,Tempe,AZ,US,175826,tempe-az,33.41477,-111.90931,5317058,PPL
177,Oceanside,CA,US,175691,oceanside-ca,33.19587,-117.37948,5378771,PPL
178,Salem,OR,US,175535,salem-or,44.9429,-123.0351,5750162,PPLA
179,Garden Grove,CA,US,175393,garden-grove-ca,33.77391,-117.94145,5351515,PPL
180,Oshawa,ON,CA,175383,oshawa-on,43.90012,-78.84957,6094578,PPL
181,Rancho Cucamonga,CA,US,175236,rancho-cucamonga-ca,34.1064,-117.59311,5385955,PPL
182,Cape Coral,FL,US,175229,cape-coral-fl,26.56285,-81.94953,4149962,PPL
183,Sioux Falls,SD,US,171544,sioux-falls-sd,43.54369,-96.72796,5231851,PPLA2
184,Ontario,CA,US,171214,ontario-ca,34.06334,-117.65089,5379439,PPL
185,Fort Collins,CO,US,170924,fort-collins-co,40.58526,-105.08442,5577147,PPLA2
186,Springfield,MO,US,170188,springfield-mo,37.21533,-93.29824,4409896,PPLA2
187,Elk Grove,CA,US,166913,elk-grove-ca,38.4088,-121.37162,5346111,PPL
188,Clarksville,TN,US,166722,clarksville-tn,36.52977,-87.35945,4613868,PPLA2
189,Pembroke Pines,FL,US,166611,pembroke-pines-fl,26.00315,-80.22394,4168139,PPL
190,Greater Sudbury,ON,CA,166004,greater-sudbury-on,46.49,-80.99001,5964700,PPL
191,Murfreesboro,TN,US,165430,murfreesboro-tn,35.84562,-86.39027,4644312,PPLA2
192,Port Saint Lucie,FL,US,164603,port-saint-lucie-fl,27.29393,-80.35033,4169171,PPL
193,Corona,CA,US,164226,corona-ca,33.87529,-117.56644,5339631,PPL
194,McKinney,TX,US,162898,mckinney-tx,33.19762,-96.61527,4710178,PPLA2
